Training Loss	Validation Loss	Test Loss	
 5.7946e+00	 5.4260e+00	 5.3528e+00	
 5.3418e+00	 5.2620e+00	 5.1852e+00	
 5.1928e+00	 5.1846e+00	 5.1062e+00	
 5.1045e+00	 5.1407e+00	 5.0582e+00	
 5.0415e+00	 5.1172e+00	 5.0304e+00	
 4.9346e+00	 5.0612e+00	 4.9786e+00	
 4.8618e+00	 5.0360e+00	 4.9537e+00	
 4.8264e+00	 5.0208e+00	 4.9419e+00	
 4.8095e+00	 5.0140e+00	 4.9350e+00	
 4.8023e+00	 5.0098e+00	 4.9316e+00	
