Training Loss	Validation Loss	Test Loss	
 5.7933e+00	 5.3517e+00	 5.2901e+00	
 5.2791e+00	 5.1331e+00	 5.0723e+00	
 5.0981e+00	 5.0227e+00	 4.9628e+00	
 4.9887e+00	 4.9527e+00	 4.8921e+00	
 4.9128e+00	 4.9166e+00	 4.8543e+00	
 4.8056e+00	 4.8532e+00	 4.7864e+00	
 4.7320e+00	 4.8171e+00	 4.7499e+00	
 4.6952e+00	 4.8053e+00	 4.7368e+00	
 4.6767e+00	 4.7962e+00	 4.7274e+00	
 4.6697e+00	 4.7903e+00	 4.7227e+00	
 4.6656e+00	 4.7880e+00	 4.7207e+00	
 4.6633e+00	 4.7862e+00	 4.7191e+00	
 4.6617e+00	 4.7856e+00	 4.7187e+00	
 4.6603e+00	 4.7851e+00	 4.7185e+00	
 4.6604e+00	 4.7851e+00	 4.7184e+00	
 4.6601e+00	 4.7850e+00	 4.7184e+00	
 4.6602e+00	 4.7850e+00	 4.7184e+00	
 4.6593e+00	 4.7850e+00	 4.7183e+00	
 4.6601e+00	 4.7849e+00	 4.7183e+00	
 4.6591e+00	 4.7849e+00	 4.7183e+00	
 4.6591e+00	 4.7849e+00	 4.7183e+00	
 4.6589e+00	 4.7849e+00	 4.7183e+00	
 4.6608e+00	 4.7849e+00	 4.7183e+00	
 4.6593e+00	 4.7849e+00	 4.7183e+00	
 4.6599e+00	 4.7849e+00	 4.7183e+00	
 4.6608e+00	 4.7849e+00	 4.7183e+00	
 4.6608e+00	 4.7849e+00	 4.7183e+00	
 4.6603e+00	 4.7849e+00	 4.7183e+00	
 4.6598e+00	 4.7849e+00	 4.7183e+00	
 4.6604e+00	 4.7849e+00	 4.7183e+00	
